ds,service,env,latency_hat,cpu_hat,anom_hat,latency_norm,cpu_norm,anom_norm,risk_score
2025-11-01,LAMBDA,prod,15.575380444402157,0.4826354307401662,0.0132980074301899,0.3344405071430454,0.307019482564781,0.08617412161055223,0.252
2025-11-02,LAMBDA,prod,15.642200681080832,0.4857267007821059,0.0238348807679131,0.4051814912880189,0.37423358331157924,0.556107069338038,0.441
2025-11-03,LAMBDA,prod,15.39964430696644,0.4855844767843957,0.0335688623766626,0.14839286753618927,0.3711411785779227,0.9902319300923386,0.468
2025-11-04,LAMBDA,prod,15.617001247247464,0.4847183525072713,0.028202701959524,0.3785034542460233,0.3523088657640741,0.7509070846681842,0.482
2025-11-05,LAMBDA,prod,15.629113362809289,0.4851500664610754,0.0284350336607672,0.3913262608912833,0.3616957083210508,0.7612688227015041,0.493
2025-11-06,LAMBDA,prod,15.629158685771776,0.487479871743826,0.0245799856407612,0.3913742432261277,0.4123531290156732,0.5893379261625238,0.457
2025-11-07,LAMBDA,prod,16.13396780431747,0.5074464425709222,0.0114753147442322,0.9258035662320417,0.8464902587173627,0.004884034953924406,0.626
2025-11-08,LAMBDA,prod,15.645464615906286,0.4896955573966776,0.0131884972161296,0.40863694091248,0.4605292238483827,0.0812900866553836,0.326
2025-11-09,LAMBDA,prod,15.712284852583648,0.4927868274385681,0.0237253705538917,0.4793779250560637,0.5277433245941116,0.5512230343846042,0.515
2025-11-10,LAMBDA,prod,15.469728478470904,0.4926446034409142,0.0334593521626236,0.22258930130597737,0.5246509198616789,0.9853478951381198,0.542
2025-11-11,LAMBDA,prod,15.687085418751533,0.4917784791637651,0.0280931917454829,0.4526998880153939,0.5058186070472932,0.7460230497138719,0.557
2025-11-12,LAMBDA,prod,15.699197534313797,0.4922101931175786,0.0283255234467221,0.4655226946611184,0.5152054496044739,0.7563847877470132,0.568
2025-11-13,LAMBDA,prod,15.699242857273743,0.4945399984002443,0.0244704754267633,0.4655706769932736,0.5658628702972508,0.5844538912101381,0.531
2025-11-14,LAMBDA,prod,16.204051975820207,0.5145065692273892,0.0113658045301998,1.0,1.0,0.0,0.7
2025-11-15,LAMBDA,prod,15.715548787409146,0.4967556840531411,0.0130789870021054,0.4828333746805699,0.6140389651309428,0.07640605170182492,0.4
2025-11-16,LAMBDA,prod,15.782369024086462,0.4998469540950302,0.0236158603398702,0.5535743588241048,0.6812530658766415,0.546338999431166,0.59
2025-10-17,LAMBDA,staging,14.998234927757826,0.2994421701646943,,1.0,0.7965749646885106,0.0,0.639
2025-10-18,LAMBDA,staging,14.86586800604441,0.2882964131887987,,0.7260468445029599,0.03436962718665903,0.0,0.301
2025-10-19,LAMBDA,staging,14.946954192117476,0.3003930920127274,,0.8938668425386544,0.8616039896067303,0.0,0.616
2025-10-20,LAMBDA,staging,14.82957058979787,0.3010034951889785,,0.6509239090413469,0.9033465612394023,0.0,0.531
2025-10-21,LAMBDA,staging,14.729822433529831,0.29613366656711,,0.4444801705988646,0.5703221308364417,0.0,0.349
2025-10-22,LAMBDA,staging,14.770647582097096,0.2992789712420317,,0.5289739257520764,0.7854145661442903,0.0,0.447
2025-10-23,LAMBDA,staging,14.82452843281844,0.3024168620158772,,0.6404884105259634,1.0,0.0,0.556
2025-10-24,LAMBDA,staging,14.926647905470324,0.299316523080783,,0.8518399431335378,0.7879825578913884,0.0,0.577
2025-10-25,LAMBDA,staging,14.794280983756842,0.2881707661048933,,0.5778867876363617,0.025777220389943022,0.0,0.239
2025-10-26,LAMBDA,staging,14.875367169829932,0.3002674449288281,,0.7457067856721077,0.8530115828104319,0.0,0.554
2025-10-27,LAMBDA,staging,14.757983567510369,0.3008778481050754,,0.5027638521748884,0.8947541544428419,0.0,0.47
2025-10-28,LAMBDA,staging,14.658235411242472,0.2960080194832163,,0.2963201137327002,0.5617297240405266,0.0,0.287
2025-10-29,LAMBDA,staging,14.699060559810055,0.2991533241581534,,0.38081386888657004,0.7768221593494268,0.0,0.385
2025-10-30,LAMBDA,staging,14.752941410530765,0.3022912149319588,,0.49232835365914457,0.9914075932023957,0.0,0.494
2025-10-31,LAMBDA,staging,14.855060883182755,0.2991908759968669,,0.7036798862669396,0.7793901510939397,0.0,0.515
2025-11-01,LAMBDA,staging,14.72269396146936,0.288045119020991,,0.42972673076994355,0.017184813593439603,0.0,0.177
2025-11-02,LAMBDA,staging,14.803780147542383,0.3001417978448893,,0.5975467288055498,0.8444191760114306,0.0,0.492
2025-11-03,LAMBDA,staging,14.68639654522255,0.3007522010211567,,0.3546037953077718,0.8861617476452148,0.0,0.408
2025-11-04,LAMBDA,staging,14.586648388954853,0.295882372399305,,0.14816005686599532,0.5531373172434044,0.0,0.225
2025-11-05,LAMBDA,staging,14.627473537522407,0.2990276770742425,,0.23265381201980634,0.7682297525523349,0.0,0.324
2025-11-06,LAMBDA,staging,14.6813543882435,0.3021655678480637,,0.344168296793175,0.982815186406382,0.0,0.433
2025-11-07,LAMBDA,staging,14.783473860895256,0.2990652289129555,,0.5555198294004847,0.7707977442968138,0.0,0.453
2025-11-08,LAMBDA,staging,14.651106939181911,0.2879194719370825,,0.28156667390359164,0.008592406796511014,0.0,0.115
2025-11-09,LAMBDA,staging,14.732193125254836,0.3000161507609901,,0.44938667193899573,0.835826769215136,0.0,0.431
2025-11-10,LAMBDA,staging,14.614809522935367,0.300626553937269,,0.20644373844197134,0.8775693408497097,0.0,0.346
2025-11-11,LAMBDA,staging,14.515061366667576,0.2957567253154113,,0.0,0.5445449104474894,0.0,0.163
2025-11-12,LAMBDA,staging,14.55588651523492,0.2989020299903321,,0.08449375515337722,0.7596373457552773,0.0,0.262
2025-11-13,LAMBDA,staging,14.60976736595564,0.3020399207641569,,0.19600823992597383,0.974222779609571,0.0,0.371
2025-11-14,LAMBDA,staging,14.71188683860769,0.2989395818290394,,0.4073597725338901,0.7622053374993651,0.0,0.392
2025-11-15,LAMBDA,staging,14.57951991689443,0.2877938248531801,,0.13340661703717355,0.0,0.0,0.053
2025-10-17,RDS,dev,35.05570399669659,0.2947944661251578,,0.7553066258470214,0.24588750405595,0.0,0.376
2025-10-18,RDS,dev,34.303005888906455,0.3020510577562651,,0.34223315900645257,0.6590710544559453,0.0,0.335
2025-10-19,RDS,dev,35.50158167826847,0.302477664030343,,1.0,0.6833616172858547,0.0,0.605
2025-10-20,RDS,dev,33.98469032604644,0.3006093515721578,,0.1675446461232055,0.5769816507709544,0.0,0.24
2025-10-21,RDS,dev,34.71924835696764,0.3039994872785468,,0.5706630136172298,0.7700128117775805,0.0,0.459
2025-10-22,RDS,dev,34.573986084617346,0.2961235230892233,,0.4909444786297541,0.3215627663571058,0.0,0.293
2025-10-23,RDS,dev,34.60224415193266,0.2904760337906689,,0.5064522336132503,0.0,0.0,0.203
2025-10-24,RDS,dev,34.95393796859258,0.2961408597587784,,0.6994584104729484,0.3225499001305134,0.0,0.377
2025-10-25,RDS,dev,34.20123986080326,0.3033974513898835,,0.28638494363283196,0.7357334505303823,0.0,0.335
2025-10-26,RDS,dev,35.399815650163546,0.3038240576639537,,0.9441517846254279,0.7600240133598555,0.0,0.606
2025-10-27,RDS,dev,33.88292429794183,0.3019557452057711,,0.11169643074880495,0.6536440468451037,0.0,0.241
2025-10-28,RDS,dev,34.617482328861456,0.3053458809121639,,0.5148147982419675,0.8466752078519447,0.0,0.46
2025-10-29,RDS,dev,34.47222005651799,0.2974699167228334,,0.43509626325823914,0.3982251624310718,0.0,0.294
2025-10-30,RDS,dev,34.500478123822674,0.2918224274242726,,0.45060401823590185,0.07666239607360252,0.0,0.203
2025-10-31,RDS,dev,34.85217194048526,0.2974872533923927,,0.6436101950970661,0.39921229620471643,0.0,0.377
2025-11-01,RDS,dev,34.09947383269831,0.3047438450234964,,0.23053672825824423,0.8123958466045063,0.0,0.336
2025-11-02,RDS,dev,35.29804962205942,0.3051704512975755,,0.8883035692512964,0.8366864094344852,0.0,0.606
2025-11-03,RDS,dev,33.78115826983525,0.3033021388393853,,0.055848215373328194,0.7303064429193005,0.0,0.241
2025-11-04,RDS,dev,34.51571630075607,0.3066922745457741,,0.4589665828671419,0.9233376039259139,0.0,0.461
2025-11-05,RDS,dev,34.370454028410215,0.2988163103564347,,0.37924804788210337,0.47488755850453523,0.0,0.294
2025-11-06,RDS,dev,34.39871209572102,0.2931688210578886,,0.39475580286312345,0.15332479214790357,0.0,0.204
2025-11-07,RDS,dev,34.75040591238125,0.2988336470260133,,0.5877619797229932,0.4758746922792798,0.0,0.378
2025-11-08,RDS,dev,33.99770780459224,0.3060902386570968,,0.17468851288304432,0.8890582426779192,0.0,0.337
2025-11-09,RDS,dev,35.1962835939545,0.3065168449311862,,0.8324553538767243,0.913348805508486,0.0,0.607
2025-11-10,RDS,dev,33.67939224173259,0.3046485324729978,,0.0,0.8069688389934023,0.0,0.242
2025-11-11,RDS,dev,34.413950272654105,0.3080386681793863,,0.4031183674941959,1.0,0.0,0.461
2025-11-12,RDS,dev,34.268688000309574,0.3001627039900846,,0.3233998325098826,0.5515499545807675,0.0,0.295
2025-11-13,RDS,dev,34.29694606761585,0.294515214691502,,0.33890758748841876,0.22998718822205605,0.0,0.205
2025-11-14,RDS,dev,34.64863988427393,0.3001800406596275,,0.5319137643471108,0.5525370883534797,0.0,0.379
2025-11-15,RDS,dev,33.895941776487284,0.3074366322907098,,0.11884029750845664,0.9657206387520495,0.0,0.337
2025-10-18,RDS,prod,34.73135587061774,0.4255680258335531,0.0236705180273434,0.5504183131253791,0.515549111341538,0.33035972259896446,0.474
2025-10-19,RDS,prod,34.831436323092994,0.4374431514032193,0.0231035887684239,0.696850654998217,0.8877990212364874,0.29067019428842716,0.632
2025-10-20,RDS,prod,35.0386263688665,0.4401059706945685,0.03027108715556,1.0,0.9712704957447887,0.7924517228942063,0.929
2025-10-21,RDS,prod,34.811893642000165,0.4374453045544216,0.0247112814890744,0.6682568538300552,0.8878665161304432,0.4032213896042489,0.655
2025-10-22,RDS,prod,34.54335158751648,0.4337644910457638,0.0329221129467601,0.2753405454319505,0.7724839470030935,0.9780444781390734,0.635
2025-10-23,RDS,prod,34.71893896810961,0.4410224691584128,0.0233283635874912,0.5322505683949926,1.0,0.30640620791712975,0.605
2025-10-24,RDS,prod,34.58488073107529,0.4269229741788332,0.0189516261512674,0.3361037573967714,0.5580227169033364,0.0,0.302
2025-10-25,RDS,prod,34.668627910343886,0.4214563992946694,0.0237750563297373,0.45863813131537007,0.3866618335067021,0.3376782298855805,0.401
2025-10-26,RDS,prod,34.76870836281921,0.4333315248643325,0.0232081270708302,0.6050704731883119,0.758911743401554,0.2979887015759115,0.559
2025-10-27,RDS,prod,34.97589840859227,0.4359943441556635,0.0303756254579696,0.9082198181894399,0.8423832179092846,0.7997702301819214,0.856
2025-10-28,RDS,prod,34.74916568172721,0.4333336780155383,0.0248158197914739,0.5764766720213664,0.7589792382956195,0.4105398968912569,0.581
2025-10-29,RDS,prod,34.48062362724188,0.4296528645068723,0.0330266512491449,0.18356036362084985,0.6435966691680123,0.9853629854250527,0.562
2025-10-30,RDS,prod,34.65621100783585,0.4369108426194971,0.0234329018899253,0.4404703865851187,0.87111272216416,0.3137247152065601,0.532
2025-10-31,RDS,prod,34.522152770801135,0.422811347639911,0.019056164453696,0.24432357558632564,0.4291354390672945,0.007318507289045375,0.229
2025-11-01,RDS,prod,34.6058999500698,0.4173447727557682,0.0238795946321553,0.36685794950501793,0.257774555671318,0.34499673717388385,0.328
2025-11-02,RDS,prod,34.70598040254426,0.4292198983253909,0.0233126653732285,0.5132902913767018,0.6300244655649031,0.30530720886283547,0.486
2025-11-03,RDS,prod,34.91317044831853,0.4318827176167698,0.0304801637603745,0.8164396363795972,0.7134959400741337,0.8070887374693076,0.783
2025-11-04,RDS,prod,34.686437721453004,0.4292220514766354,0.0249203580938865,0.48469649021083755,0.6300919604601815,0.4178584041791821,0.508
2025-11-05,RDS,prod,34.41789566696807,0.4255412379679743,0.0331311895515665,0.09178018181090315,0.5147093913327274,0.9926814927136077,0.489
2025-11-06,RDS,prod,34.59348304756168,0.4327992160806023,0.0235374401923083,0.3486902047746522,0.7422254443289761,0.3210432224924132,0.458
2025-11-07,RDS,prod,34.459424810527,0.4186997211010043,0.019160702756097,0.15254339377590073,0.3002481612317364,0.014637014576158326,0.155
2025-11-08,RDS,prod,34.54317198979541,0.4132331462168495,0.0239841329345509,0.27507776769422915,0.12888727783538406,0.35231524446061885,0.254
2025-11-09,RDS,prod,34.64325244227047,0.425108271786504,0.0234172036756348,0.42151010956678625,0.5011371877299662,0.31262571615031953,0.413
2025-11-10,RDS,prod,34.8504424880438,0.4277710910778534,0.0305847020627887,0.7246594545682989,0.5846086622382729,0.8144072447573447,0.71
2025-11-11,RDS,prod,34.623709761178304,0.425110424937728,0.0250248963962914,0.39291630839959135,0.5012046826246025,0.42517691146656833,0.435
2025-11-12,RDS,prod,34.35516770669361,0.421429611429056,0.0332357278539572,0.0,0.38582211349680734,1.0,0.416
2025-11-13,RDS,prod,34.530755087287304,0.4286875895417107,0.0236419784947483,0.2569100229638738,0.6133381664938931,0.3283617297822565,0.385
2025-11-14,RDS,prod,34.39669685025283,0.414588094562082,0.0192652410585256,0.06076321196543421,0.1713608833956911,0.021955521865203702,0.082
2025-11-15,RDS,prod,34.480444029521315,0.4091215196779483,0.0240886712369689,0.18329758588386658,0.0,0.3596337517489219,0.181
2025-11-16,RDS,prod,34.58052448199668,0.4209966452476173,0.023521741978041,0.32972992775687077,0.3722499098950363,0.3199442234377968,0.34
2025-10-18,RDS,staging,33.78048782362181,0.3056995537072123,,0.6121137890108493,1.0,0.0,0.545
2025-10-19,RDS,staging,33.982650988875136,0.2918959263683251,,0.6721050313978292,0.3376293687143769,0.0,0.37
2025-10-20,RDS,staging,34.62452459230981,0.2917946341276423,,0.8625788740348008,0.3327688343230713,0.0,0.445
2025-10-21,RDS,staging,34.49234059333102,0.2926213086900221,,0.8233537149288869,0.3724370272051491,0.0,0.441
2025-10-22,RDS,staging,34.08842995337397,0.2998682562986574,,0.7034945849336646,0.7201836842669987,0.0,0.497
2025-10-23,RDS,staging,35.08761701534371,0.2947171127564699,,1.0,0.47300472788721487,0.0,0.542
2025-10-24,RDS,staging,32.20859522395576,0.2867910504161491,,0.14565992322030422,0.0926705746188665,0.0,0.086
2025-10-25,RDS,staging,33.61686910219772,0.3050558103521935,,0.5635604812720196,0.9691098084596569,0.0,0.516
2025-10-26,RDS,staging,33.819032267449685,0.2912521830133011,,0.6235517236585969,0.3067391771737833,0.0,0.341
2025-10-27,RDS,staging,34.46090587088095,0.2911508907726167,,0.8140255662945564,0.30187864278240323,0.0,0.416
2025-10-28,RDS,staging,34.328721871904605,0.2919775653349745,,0.7748004071893677,0.3415468356634235,0.0,0.412
2025-10-29,RDS,staging,33.92481123194224,0.2992245129435912,,0.6549412771925704,0.6892934927243834,0.0,0.469
2025-10-30,RDS,staging,34.92399829391775,0.2940733694014849,,0.9514466922606158,0.4421145363484939,0.0,0.513
2025-10-31,RDS,staging,32.04497650252712,0.2861473070611524,,0.09710661548012514,0.061780383079583515,0.0,0.057
2025-11-01,RDS,staging,33.45325038077049,0.3044120669971802,,0.5150071735322602,0.9382196169195801,0.0,0.487
2025-11-02,RDS,staging,33.65541354602026,0.2906084396583214,,0.5749984159181859,0.2758489856353181,0.0,0.313
2025-11-03,RDS,staging,34.2972871494577,0.2905071474176167,,0.7654722585559777,0.27098845124296306,0.0,0.387
2025-11-04,RDS,staging,34.16510315047861,0.2913338219799722,,0.726247099449973,0.3106566441238741,0.0,0.384
2025-11-05,RDS,staging,33.7611925105183,0.2985807695885998,,0.606387969453785,0.6584033011853562,0.0,0.44
2025-11-06,RDS,staging,34.76037957248831,0.293429626046435,,0.9028933845202006,0.41122434480666176,0.0,0.485
2025-11-07,RDS,staging,31.88135778109927,0.2855035637061345,,0.04855330774018012,0.03089019153928565,0.0,0.029
2025-11-08,RDS,staging,33.289631659339065,0.3037683236421454,,0.4664538657912546,0.9073294253784698,0.0,0.459
2025-11-09,RDS,staging,33.49179482459482,0.2899646963032974,,0.5264451081789556,0.24495879409472723,0.0,0.284
2025-11-10,RDS,staging,34.1336684280232,0.2898634040625655,,0.7169189508140591,0.24009825970106696,0.0,0.359
2025-11-11,RDS,staging,34.00148442904732,0.290690078624935,,0.6776937917090096,0.27976645258264926,0.0,0.355
2025-11-12,RDS,staging,33.59757378908475,0.2979370262335438,,0.557834661712149,0.6275131096432283,0.0,0.411
2025-11-13,RDS,staging,34.59676085106513,0.2927858826914527,,0.8543400767816409,0.38033415326807135,0.0,0.456
2025-11-14,RDS,staging,31.717739059670624,0.2848598203511377,,0.0,0.0,0.0,0.0
2025-11-15,RDS,staging,33.12601293791184,0.3031245802871321,,0.4179005580514951,0.8764392338383903,0.0,0.43
2025-11-16,RDS,staging,33.32817610316937,0.2893209529482735,,0.4778918004397233,0.214068602554139,0.0,0.255
